time,open,high,low,close,MA,MA,MA,MA,MA,Volume,Basis,Upper,Lower,Histogram,MACD,Signal,%K,%D,RSI,RSI-based MA,Regular Bullish,Regular Bullish Label,Regular Bearish,Regular Bearish Label
2023-08-03,24.29,25.6,24.07,25.15,17.922066666666662,16.15974999999998,26.45222222222223,19.822600000000012,24.109200000000005,51527607,26.08549999999998,29.30919648075074,22.861803519249218,-0.19929132376607794,0.7854010092487336,0.9846923330148115,26.229508196721266,50.20491803278688,48.89576144400809,56.76432582893245,NaN,NaN,NaN,NaN
2023-08-04,24.818,25.95,24.08,24.88,18.028866666666662,16.24749999999998,26.450000000000003,19.93120000000001,24.268400000000007,59250857,26.18149999999998,29.12976236960084,23.233237630399117,-0.29697328846886417,0.6134757224287313,0.9104490108975954,20.696721311475372,25.273224043715825,47.94540767652313,55.46537725275194,NaN,NaN,NaN,NaN
2023-08-07,25.46,25.78,24.9849,25.66,18.135466666666662,16.33879999999998,26.397777777777783,20.03560000000001,24.461000000000002,40030845,26.24849999999998,29.083222384997182,23.413777615002775,-0.3011532330889721,0.5340074695363803,0.8351607026253525,36.68032786885245,27.868852459016367,50.9135919663142,54.34145130295624,NaN,NaN,NaN,NaN
2023-08-08,24.5,24.545,23.4274,24.46,18.234066666666664,16.42324999999998,26.33111111111112,20.13330000000001,24.567200000000007,52987747,26.25449999999998,29.073503192620453,23.435496807379504,-0.3721813885761156,0.36993396690520797,0.7421153554813236,19.400293089843345,25.592447423390393,46.5188617581067,53.25568949875986,NaN,NaN,NaN,NaN
2023-08-09,24.4,24.44,22.95,23.09,18.325599999999994,16.50019999999998,25.956666666666674,20.20000000000001,24.571400000000008,49811532,26.124499999999976,29.25791012317331,22.991089876826642,-0.4913860204704512,0.1278828298932595,0.6192688503637107,2.4137931034482856,19.4981380207147,42.05565610503741,52.72242937585038,NaN,NaN,NaN,NaN
2023-08-10,23.66,24.409,22.313,22.81,18.41053333333333,16.57134999999998,25.363333333333337,20.266800000000007,24.57020000000001,65350364,25.900999999999975,29.299322527366247,22.502677472633703,-0.563856608964071,-0.08555191084137803,0.47830469812269294,7.720988037905854,9.845024743732496,41.18591757050609,51.97277986585285,NaN,NaN,NaN,NaN
2023-08-11,21.93,22,21.005,21.14,18.487666666666666,16.633649999999985,24.55555555555556,20.312100000000008,24.570000000000007,66258421,25.646499999999975,29.621583772702788,21.67141622729716,-0.690657585880454,-0.3850172842278745,0.30564030165257944,1.7430600387346875,3.9592803933629437,36.35655170749196,50.883567406269286,NaN,NaN,NaN,NaN
2023-08-14,20.86,22.96,20.66,22.93,18.568066666666663,16.701999999999984,23.93333333333334,20.374700000000008,24.585400000000007,55110075,25.389999999999976,29.371080255408696,21.408919744591255,-0.6224814158140495,-0.47246146811498235,0.15001994769906707,28.0593325092707,12.50779352863708,43.943830199282864,50.031406714495134,NaN,NaN,NaN,NaN
2023-08-15,22.62,22.815,21.7,21.8,18.63653333333333,16.765949999999986,23.546666666666674,20.43030000000001,24.581000000000007,45574826,25.066999999999975,29.111987515432478,21.022012484567473,-0.6206000721304312,-0.6257301424639721,-0.005130070333540793,14.091470951792344,14.63128783326591,40.64928598569953,49.24853540458991,NaN,NaN,NaN,NaN
2023-08-16,21.71,21.78,20.4702,20.53,18.693599999999996,16.825999999999983,23.033333333333342,20.46070000000001,24.572200000000013,54398888,24.728999999999978,29.09173721418153,20.366262785818424,-0.6678896642595946,-0.8399921506580341,-0.17210248639843945,0.7222396676248548,14.291014376229299,37.2675604435919,47.888477735537485,NaN,NaN,NaN,NaN
2023-08-17,20.62,20.75,19.71,19.91,18.743666666666666,16.878049999999984,22.48111111111112,20.494100000000007,24.53580000000001,50768954,24.509999999999977,29.352276324209946,19.667723675790008,-0.7005159106686087,-1.0477473747342003,-0.34723146406559163,2.212389380530966,5.6753666666493885,35.70586050889436,46.06707054504337,NaN,NaN,NaN,NaN
2023-08-18,19.22,20.428,19.11,20.15,18.79253333333333,16.934199999999983,21.868888888888893,20.535900000000012,24.506000000000007,63687894,24.271499999999975,29.466537150974432,19.076462849025518,-0.6657613259639692,-1.1794331215205531,-0.5136717955565839,10.822060353798118,4.585563133984646,36.809738353266425,44.27399091435752,NaN,NaN,NaN,NaN
2023-08-21,20.51,22.0299,20.39,21.88,18.852066666666662,16.99809999999998,21.582222222222228,20.598400000000005,24.49800000000001,60272400,24.120499999999975,29.408416319308035,18.832583680691915,-0.4939899106404957,-1.1311591838572035,-0.6371692732167078,33.015494636471985,15.349981456933689,44.24132609932034,42.987307238003325,NaN,NaN,NaN,NaN
